,0
346,[\2H]
347,[=Pt]
348,[#Y]
349,[=33S+1]
350,[#Ga]
351,[S-1]
352,[C+1]
353,[Zn+2]
354,[=SnH2]
355,[Y]
356,[Cu+2]
357,[Na+1]
358,[NH2]
359,[#Gd]
360,[29SiH3]
361,[=Ga]
362,[#Sc]
363,[30SiH3]
364,[AlH1+2]
365,[S-2]
366,[Branch2]
367,[PH3+1]
368,[34SH2+1]
369,[#P]
370,[Pr]
371,[NH4+1]
372,[Y+3]
373,[=29SiH2]
374,[unk]
375,[=NH0]
376,[#C]
377,[/N]
378,[CH3]
379,[36SH3+1]
380,[MoH2]
381,[18OH1-1]
382,[36Ar]
383,[/Si]
384,[Nd]
385,[Ti+4]
386,[#CH0]
387,[AtH1]
388,[#SiH1]
389,[#Branch2]
390,[=CH1+1]
391,[O-1]
392,[SbH3]
393,[SbH1]
394,[I+3]
395,[#13CH1]
396,[29Si+1]
397,[NH0]
398,[C]
399,[=15N]
400,[InH3]
401,[13C]
402,[SnH3]
403,[=29Si-1]
404,[=33S]
405,[=SiH1]
406,[=17O]
407,[CH2]
408,[17OH1]
409,[Kr]
410,[Zn]
411,[#S]
412,[=SH1]
413,[#13C-1]
414,[29SiH3+1]
415,[=CH1-1]
416,[SnH4+2]
417,[Ir+3]
418,[18OH1]
419,[TaH2]
420,[#C-1]
421,[57Fe+1]
422,[W+1]
423,[#15N]
424,[Branch1]
425,[F+1]
426,[NH1+1]
427,[15NH4+1]
428,[SbH2]
429,[Si]
430,[Hf]
431,[=OH1+1]
432,[Rh+2]
433,[GeH4]
434,[N+1]
435,[=O+1]
436,[GeH1]
437,[Fm]
438,[=36S]
439,[HeH1+1]
440,[I+1]
441,[SiH5+1]
442,[PbH6+2]
443,[P-1]
444,[#Dy]
445,[O-2]
446,[=Rh]
447,[Lr]
448,[34SH3+1]
449,[Cl]
450,[=Branch1]
451,[/I]
452,[\29Si]
453,[GaH2]
454,[=13C-1]
455,[\S@]
456,[/S@]
457,[=NH1+1]
458,[=15N+1]
459,[S@@+1]
460,[38Ar]
461,[\C@]
462,[#30SiH1]
463,[=Ru+1]
464,[Tl+3]
465,[=34S+1]
466,[BiH3]
467,[=Tc+4]
468,[=CH1]
469,[#15N+1]
470,[21Ne]
471,[=18O+1]
472,[/NH1]
473,[I+2]
474,[25Mg+1]
475,[33SH2]
476,[BH2]
477,[15NH2]
478,[At]
479,[=SiH2]
480,[S@+1]
481,[/O]
482,[18O+1]
483,[PH2+1]
484,[Ti]
485,[H+1]
486,[CH1]
487,[Yb]
488,[TeH1]
489,[Sm]
490,[Tc]
491,[#33S+1]
492,[/B]
493,[57Fe]
494,[Ru+3]
495,[SiH4]
496,[=Si]
497,[/NH1+1]
498,[=Ring3]
499,[Nb]
500,[Tl+1]
501,[=Pr]
502,[#S+1]
503,[=Ti+2]
504,[Tb]
505,[Mg+1]
506,[HH1]
507,[/S@@]
508,[30SiH3+1]
509,[AgH1]
510,[#O+1]
511,[Ti+2]
512,[=Tc]
513,[=B]
514,[CH3-1]
515,[La]
516,[13CH2-1]
517,[34S-1]
518,[GaH3]
519,[Xe]
520,[=Zn]
521,[=S@]
522,[ClH1+1]
523,[RuH1]
524,[22Ne]
525,[Pa]
526,[FH2+1]
527,[33S]
528,[=PH2]
529,[17OH2]
530,[2H+1]
531,[30SiH5+1]
532,[58Fe+1]
533,[NH3+1]
534,[\N]
535,[Rb+1]
536,[#Ring1]
537,[PtH1]
538,[37Cl]
539,[ClH2+1]
540,[ReH1]
541,[SiH1]
542,[=Tc+5]
543,[=SiH1+1]
544,[\I]
545,[CH2+1]
546,[Ru]
547,[Pt]
548,[Ga+3]
549,[=AsH1]
550,[\O]
551,[=13C]
552,[Sc]
553,[58Fe]
554,[Ba+2]
555,[=W]
556,[Os+8]
557,[Ring3]
558,[#Tb]
559,[=S]
560,[Ring1]
561,[SnH4]
562,[/S]
563,[15NH1]
564,[#34S+1]
565,[Cd+2]
566,[15NH3]
567,[=B-1]
568,[36S+1]
569,[=30Si-1]
570,[Pd+1]
571,[13CH1-1]
572,[#W]
573,[#Pr]
574,[#36S+1]
575,[#30Si]
576,[=Branch2]
577,[CH5+1]
578,[17OH3+1]
579,[\Si]
580,[S@]
581,[H-1]
582,[29SiH2]
583,[Ar]
